videoId,playlist_id,brand,title,viewCount,likeCount,commentCount,publishedAt,duration_seconds
Ujz9S-FiI7c,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,AUTRE / MULTI-MARQUES,Essai du nouveau DS7 2023,41358,136,11,2022-09-28 21:15:11+00:00,390
dVH3hYT_Pbo,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,LEXUS,Essai nouveau LEXUS NX 2022 Maroc - تجربة ليكساس إن إكس المغرب,13372,102,26,2022-09-25 21:15:13+00:00,363
cajOXw4MuGc,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUTRE / MULTI-MARQUES,FERRARI Purosangue 2023 - les premières infos,10351,38,3,2022-09-15 20:15:10+00:00,226
t_ZWItylsrM,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CHERY,CHERY Tiggo 4 Pro & 8 Pro débarquent au Maroc,67234,176,38,2022-09-14 20:15:11+00:00,245
YXDLjZi8Ff8,PLlvsaB0FDEJF6Od1WVIrvaNBNdnAi1-o_,RENAULT,Usine Renault Tanger fête ses 10 ans,4090,17,5,2022-09-14 17:45:09+00:00,127
1-rjz3OVoIY,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,JEEP,Les futurs SUV électriques de JEEP,2053,13,0,2022-09-12 21:30:11+00:00,172
fVys7YLUe94,PLlvsaB0FDEJEIQJVysOtRwAwe2CgMc98S,AUTRE / MULTI-MARQUES,AUTOCAZ - les meilleures offres du mois - septembre 2022,10547,199,17,2022-09-11 21:45:12+00:00,477
O9YLpmqbOY0,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,KIA,Nouveau KIA Sportage « fait son cinéma » au Maroc,16084,74,21,2022-09-06 22:15:11+00:00,273
RLD8DRabJcA,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CHERY,Nouveau CHERY Tiggo 7 Pro Maroc,11223,23,5,2022-09-05 19:00:07+00:00,56
PYar4P2r2I8,PLlvsaB0FDEJEIQJVysOtRwAwe2CgMc98S,AUTRE / MULTI-MARQUES,AUTOCAZ - les meilleures offres du mois - juillet 2022,11143,169,18,2022-07-26 21:30:11+00:00,463
nI5TB5MSi0k,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,ALFA ROMEO,ALFA ROMEO Tonale chez « la Continentale » Maroc,4509,37,2,2022-07-25 21:30:10+00:00,223
F7gpyqfAAic,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,KIA,KIA XCeed 2023 - les premières infos,27019,57,0,2022-07-22 21:15:09+00:00,159
v-znMraK0O8,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,AUTRE / MULTI-MARQUES,Nouvelle DS4 arrive au Maroc,11522,60,6,2022-07-20 21:15:09+00:00,190
7aeCeAeVq_o,PLlvsaB0FDEJF6Od1WVIrvaNBNdnAi1-o_,AUTRE / MULTI-MARQUES,Les voitures préférées des marocains à fin juin 2022,9239,48,3,2022-07-19 21:15:11+00:00,442
suBSLpgt1sg,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CHERY,Gamme CHERY Tiggo Pro au Maroc,4028,20,3,2022-07-15 21:15:01+00:00,31
YQ1rh7WiKQw,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,PEUGEOT,PEUGEOT lance sa nouvelle 308 au Maroc,23616,132,13,2022-07-14 22:00:12+00:00,230
n0nXO3n0okI,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,RENAULT,Essai de la nouvelle RENAULT Mégane E-Tech,22309,92,7,2022-07-14 21:15:10+00:00,462
9rQPwTzax78,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,DS,Nouveau DS 7 2023 - les premières infos,11302,46,2,2022-07-08 21:15:10+00:00,176
2rOBFodQ0Fs,PLlvsaB0FDEJEIQJVysOtRwAwe2CgMc98S,AUTRE / MULTI-MARQUES,AUTOCAZ - les meilleures offres du mois - juin 2022,15565,180,9,2022-07-07 20:15:01+00:00,383
